best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price
28.2,14.7,55.57,53.81,BTC-29NOV24,68441.38,55.25,0.0925,0.0945,0.0,0.0941,26.8,0.1455,0.0565,0.08009864,0.092,"[[0.0945, 14.7]]","[[0.0925, 28.2]]",BTC-29NOV24-65000-C,66858.44,29188383383,1729886286712,36.04179,-62.3288,77.84278,3e-05,0.65122,12601.5,2.2,10.1796,0.0795,0.094,month,29NOV24,65000
46.9,24.8,55.83,53.69,BTC-29NOV24,68441.38,55.25,0.084,0.0865,0.0,0.0858,8.8,0.1375,0.049,0.07238902,0.0855,"[[0.0865, 24.8]]","[[0.084, 46.9]]",BTC-29NOV24-66000-C,66858.44,29188408624,1729886286712,34.39241,-64.28527,80.283,3e-05,0.61744,16701.37,3.2,14.0,0.0725,0.086,month,29NOV24,66000
1.0,22.3,55.38,54.06,BTC-29NOV24,68441.38,55.25,0.0425,0.044,0.0,0.0439,40.8,0.0945,0.0175,0.05272404,0.037,"[[0.044, 22.3]]","[[0.0425, 1.0]]",BTC-29NOV24-65000-P,66858.44,29188370659,1729886286712,-25.40335,-62.32823,77.84363,3e-05,-0.34878,143335.59,47.2,-31.4815,0.0355,0.054,month,29NOV24,65000
46.6,21.0,56.06,54.39,BTC-29NOV24,68441.38,55.25,0.077,0.079,0.0,0.078,48.2,0.1295,0.0425,0.0655158,0.0665,"[[0.079, 21.0]]","[[0.077, 46.6]]",BTC-29NOV24-67000-C,66858.44,29188423374,1729886286815,32.68504,-65.7506,82.11132,3e-05,0.58326,9065.98,2.0,-0.7463,0.0665,0.067,month,29NOV24,67000
0.6,17.3,55.55,54.27,BTC-29NOV24,68441.38,55.25,0.049,0.0505,0.0,0.0502,31.1,0.103,0.0215,0.05999284,0.043,"[[0.0505, 17.3]]","[[0.049, 0.6]]",BTC-29NOV24-66000-P,66858.44,29188425100,1729886286815,-27.99428,-64.2859,80.28216,3e-05,-0.38256,117723.87,31.0,-27.1186,0.043,0.059,month,29NOV24,66000
0.1,1.6,55.7,33.1,BTC-29NOV24,68441.49,55.25,0.0305,0.0575,0.0,0.057,36.1,0.1115,0.026,0.06808397,0.049,"[[0.0575, 1.6]]","[[0.0305, 0.1]]",BTC-29NOV24-67000-P,66858.43,29188427345,1729886287719,-30.6456,-65.74518,82.11123,3e-05,-0.41674,99121.86,29.7,-7.5472,0.049,0.053,month,29NOV24,67000
41.4,9.8,56.24,54.19,BTC-29NOV24,68441.49,55.24,0.063,0.0655,0.0,0.0643,20.6,0.1205,0.031,0.07699156,0.05,"[[0.0655, 9.8]]","[[0.063, 41.4]]",BTC-29NOV24-68000-P,66858.43,29188426904,1729886287719,-33.33851,-66.70229,83.31338,3e-05,-0.45104,94554.19,22.2,-33.7748,0.05,0.0755,month,29NOV24,68000
22.2,0.0,0.0,54.64,BTC-29NOV24,68441.49,55.24,0.07,0.0,0.0,0.0707,45.2,0.122,0.0365,0.05946573,0.0785,[],"[[0.07, 22.2]]",BTC-29NOV24-68000-C,66858.43,29188389863,1729886287823,30.93982,-66.70026,83.31588,3e-05,0.54896,78761.24,14.9,0.0,0.0785,0.0785,month,29NOV24,68000
22.8,18.6,56.38,54.75,BTC-29NOV24,68441.49,55.65,0.0715,0.0735,0.0,0.0726,63.2,0.131,0.037,0.0857466,0.074,"[[0.0735, 18.6]]","[[0.0715, 22.8]]",BTC-29NOV24-69000-P,66858.43,29188427227,1729886287823,-36.06253,-67.64715,83.88557,3e-05,-0.48483,28858.6,6.3,5.7143,0.0635,0.074,month,29NOV24,69000
0.0,47.7,54.47,0.0,BTC-29NOV24,68441.49,55.65,0.0,0.063,0.0,0.0644,103.0,0.1155,0.0315,0.05325582,0.0635,"[[0.063, 47.7], [0.0635, 381.6], [0.064, 881.4], [0.0645, 943.5], [0.065, 475.5], [0.0655, 1268.0], [0.066, 685.7], [0.0665, 582.9], [0.067, 428.9], [0.0675, 961.9], [0.068, 1218.3], [0.0685, 787.7], [0.069, 71.0]]",[],BTC-29NOV24-69000-C,66858.43,29188428279,1729886288706,29.15927,-67.64715,83.88557,3e-05,0.51517,834955.22,217.9,19.8113,0.052,0.0705,month,29NOV24,69000
